Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
T-Series,245000000,228000000000.0,20082,Music,India,IN,564600.0,9000000.0,28.1,5.36,1366417754.0,471031528.0,2006.0
MrBeast,166000000,28368841870.0,741,Entertainment,United States,US,337000.0,5400000.0,88.2,14.7,328239523.0,270663028.0,2012.0
Cocomelon - Nursery Rhymes,162000000,164000000000.0,966,Education,United States,US,493800.0,7900000.0,88.2,14.7,328239523.0,270663028.0,2006.0
SET India,159000000,148000000000.0,116536,Shows,India,IN,455900.0,7300000.0,28.1,5.36,1366417754.0,471031528.0,2006.0
ýýý Kids Diana Show,112000000,93247040539.0,1111,People & Blogs,United States,US,182900.0,2900000.0,88.2,14.7,328239523.0,270663028.0,2015.0
PewDiePie,111000000,29058044447.0,4716,Gaming,Japan,JP,9800.0,156700.0,63.2,2.29,126226568.0,115782416.0,2010.0
Like Nastya,106000000,90479060027.0,493,People & Blogs,Russia,RU,12200.0,195800.0,81.9,4.59,144373535.0,107683889.0,2016.0
Vlad and Niki,98900000,77180169894.0,574,Entertainment,United States,US,145100.0,2300000.0,88.2,14.7,328239523.0,270663028.0,2018.0
Zee Music Company,96700000,57856289381.0,8548,Music,India,IN,200900.0,3200000.0,28.1,5.36,1366417754.0,471031528.0,2014.0
WWE,96000000,77428473662.0,70127,Sports,United States,US,178700.0,2900000.0,88.2,14.7,328239523.0,270663028.0,2007.0
BLACKPINK,89800000,32144597566.0,543,People & Blogs,South Korea,KR,124700.0,2000000.0,94.3,4.15,51709098.0,42106719.0,2016.0
Goldmines,86900000,24118230580.0,1,Film & Animation,Other,Other,0.0,0.07,63.5,9.3,431458653.0,224334935.0,2006.0
Sony SAB,83000000,101000000000.0,71270,Shows,India,IN,414300.0,6600000.0,28.1,5.36,1366417754.0,471031528.0,2007.0
5-Minute Crafts,80100000,26236790209.0,1,Howto & Style,United Kingdom,GB,0.0,0.0,60.0,3.85,66834405.0,55908316.0,2020.0
BANGTANTV,75600000,20826993957.0,2281,Music,South Korea,KR,42100.0,673200.0,94.3,4.15,51709098.0,42106719.0,2012.0
Justin Bieber,71600000,30608119724.0,249,Music,Canada,CA,44100.0,705300.0,68.9,5.56,36991981.0,30628482.0,2007.0
HYBE LABELS,71300000,28634566938.0,1337,Music,South Korea,KR,149500.0,2400000.0,94.3,4.15,51709098.0,42106719.0,2008.0
Zee TV,70500000,73139054467.0,129204,Entertainment,India,IN,426800.0,6800000.0,28.1,5.36,1366417754.0,471031528.0,2005.0
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,2865,Education,United States,US,118300.0,1900000.0,88.2,14.7,328239523.0,270663028.0,2011.0
